Año,Tutelas radicadas
1992 - 1994,57809
1995,30069
1996,31622
1997,64299
1998,10872
1999,86287
2000,132665
2001,132258
2002,143840
2003,149468
2004,198308
2005,224673
2006,256372
2007,283975
2008,345780
2009,370640
2010,403379
2011,405360
2012,424400
2013,455500
2014,498240
2015,614520
2016,618617
2017,607140
2018,607359
2019,620252
2020,292558
2021,462066
2022,633463
2023,742876
2024,912639
